Date,icon_edit,icon_calendar,icon_attachment,icon_accessibility,icon_folder,icon_hourGlass,icon_image,icon_language,icon_more,icon_notification,icon_phone,icon_printer,icon_refresh,icon_piggyBank,icon_scan,icon_sdCard,icon_translation,age
3/2/2023 19:57:43,"Pencil, meaning type here","Calendar,Dates,schedule" ,Attachments ,"Not sure, guessing (profile page button), Men’s bathroom ",File folder,Timer,Image,"Browser,web","Additional details, selections" ,"Sound,Alarm,Bell",Phone call,Print,Refresh ,Savings,"Scan code,picture" ,"Disc,chip" ,Not English so I don’t recognize ,35 - 44,
3/2/2023 20:27:02,Email,Calendar,Bookmark,I don’t know,File,Lodging ,Photo,Internet,Other functions ,Remind,Phone call,Print,Reloading ,I don’t know,Scan,USB ,Translate,25 - 34,
3/2/2023 20:52:32,Edit,Calendar,"Clip, copy","Person, user, friend ",Folder,"Hourglass, computer busy signal",Picture,"Www, world wide web, internet",Settings,Notification,"Call, dial ",Printer,Refresh,Pay,Empty,Disk drive,"Dialog, active chat",35 - 44,
3/2/2023 21:01:40,Write,Charge,paperclip,Stop ,Folder,timer,picture,internet,options,remind,Call,print,reorganization,save money ,I don’t know 😓,Memory card,translate,25 - 34,
3/2/2023 21:51:50,Edit,"Schedule,Calendar",Attachments,,Folder,Timer,Image,Connectivity,Menu,"Notifications,Alerts",Call,Print,Refresh,Money Savings,,Disk space,Translation,25 - 34,
3/3/2023 1:53:35,筆記本 note book,月曆 calendar,檔案 file,不知道😂 no idea,檔案夾 folder,下載 download,相簿 album,網路 network,功能列表 function list,聲音開啟 turn on voice,未接來電 missed call,列印 print,重整 refresh,儲蓄 saving,掃描 scan,硬碟 disk,文字轉換 text conversion,25 - 34,
3/3/2023 9:50:40,write,calendar,attach file,little man,folder,timer,image,web,menu,notificatoin,call,print,refresh,bank,screenshot,save,translate,25 - 34,
3/3/2023 11:26:25,Create,calendar,attachment,person,file,waiting,image,global,more options,notifications,incoming call,print,refresh,payment,drag to exoand,save,translate,18 - 24,
3/3/2023 14:07:22,"Start a new message,start a new note",Calendar ,Attach a file,Team?,Files,Time keeper?,"Insert a photo,add a picture" ,Change language ,More options ,Notification ,Incoming call,Print ,Refresh ,Saving?,Scan,Save ,Translate ,25 - 34,
3/3/2023 18:45:29,Edit ,"Schedule, see calendar" ,Attach,No idea,Folder - organize ,Time running Oit,Picture,World Wide Web ,"Click to see more, menu options" ,Notification,Contact by phone ,Print,Redresh,Save money,No idea ,Save to external drive ,Translate ,35 - 44,
3/4/2023 3:53:30,麥克風、有線麥克風 mic,"有圖案的插頭、蘋果插頭、電鍋、插頭 plugs, electric cookers ",三個迴玟針 paper clip,夜色下的人、陽光下的人 person,三個都是電腦桌面的資料夾 folder,"空的沙漏、鼻對鼻、兩隻手指甲碰觸 hourglass, noses, two fingernails touching","日出、日落、夜晚, sunrise, sunset, night","藝術的空心球、兩個圈加兩條線 Artistic hollow ball, two circles plus two lines","點點點（我無言）、有些話還未說完（不想說了！呃）、三個小圈圈 speechless, some words have not been finished","路燈、帽子、鈴鐺, street lights, hats, bells","圓弧翹翹板、瞇起一眼大笑的嘴 seesaw, laughing mouth","飛鳥、有隔離板的餐桌、列印機 bird, dining table with partition, printer","箭頭、道路遵循方向、lag、風箏 arrow, road direction, lag, kite",豬公小費箱、豬公存錢筒 piggy bank,一條直線和四條直角線 A straight line and four right angles,三個都是晶片 chip,"兩人的對話框、中英文的交流、補習班語言圖案 Dialog box, communication in Chinese and English, language pattern of cram school",55 - 64,
3/4/2023 12:00:00,"pen, write",battery,paper clip,gymnastics,letter,"hourglass, time","landscape, postcard",the earth,game,bell,phone,I don't know,return,piggy bank,balance,No idea,logo for word,60,
3/4/2023 12:00:00,draw,calendar,attach papers together,ballet stand,no idea,hourglass,picture,the earth,3 dots,bell,phone,no idea,turn around,piggy jar for saving money,box,popcorn bag,talking bobble,<18,
3/7/2023 15:45:46,Document ,Calendar ,Attachment ,User ,Folder,Time,Photo,Browser ,Additional information ,Reminder,Contact ,Print,"Reload,refresh",Save ,Don’t know,Sim card,"Chat,q&a",35 - 44,
3/7/2023 15:54:12,pencil,calendar,paperclip,person,folder,hourglass,picture,internet,three dots,bell,incoming call,printer,refresh,piggbank,unsure,save,translation,25 - 34,
3/7/2023 16:01:36,Compose or draft,"Calendar, schedule",Attach,Potentially accessibility but usually see with a circle,File,"Timer,waiting",Image (can be used to insert or identify type,"Globe, often used for languages",More options,"Alert, notification or opting into Dante's hell of push spam",Inbound call - to call you,Print,"Refresh,reload",Put money in the bank,Potentially a design tool icon to focus,Micro SD,"Often used as translate a page (often using Google or Bing machine translations, but sometimes people are nice and have it localized)",35 - 44,
3/7/2023 16:02:12,"Pencil,represents writing,typing,editing","Calendar, represents dates,scheduling","Paperclip,represents attachments","Person, Represents user,profile","Folder,Represents files,directories","Hourglass, Represents timer,waiting,processing","Landscape,Represents a visual element,photo,image,graphic","Globe,Don't know what it represents","Dots,Represents a menu,options","Bell,Represents notifications","Phone,represents make a call","Printer,Represents printing","Arrows,Represents refresh","Piggy bank, Represents money account",?,"SD card,represents saving files","Language, represents translate",35 - 44,
3/7/2023 16:02:15,edit,calendar,"attachment, paper clip",person,folder,"loading, hourglass, please wait",image placeholder,world,"ellipsis, handle, drag","alert, alarm","phone call, incoming call",print,"refresh, redo","piggy bank, savings",zoom to object,"sd card, sim card",translate,45 - 54,
3/7/2023 16:13:54,edit,calendar,attachment,person,folder,"loading, waiting",image,internet,"more, menu",alert,call,printer,refresh,money,don't know,memory card,language,25 - 34,
3/7/2023 18:08:17,edit,calendar,attachment,person? hug?,folder,"hour glass, time,wait",picture,world,"more,additional controls","bell,alarm","phone, answer phone",printer,"refresh, cycle, restart",piggy bank,I dont know,SMS chip? ,translation,45 - 54,
3/7/2023 18:18:59,edit,"calendar, date",attachment,profile,"file, folder",loading,image,"internet, internationalization, language",more options,"alert, notification",hang up,print,"reload, loading","account, balance, banking info",collapse,"sd card, memory","language, internationalization",35 - 44,
3/7/2023 18:20:58,edit this,calendar,attachment,,folder,waiting...,image,"world, universal, global",kebap menu,alert,call,fax,reload,save,"don't know, looks like the viewfinder icon in a photo app",memory card,That last one is Wikipedia's interlanguage selector,55 - 64,
3/7/2023 19:52:19,edit,calendar,link attachment,I don't know,files,time remaining,"photos, image",internet,more,notification,call,print,refresh,pay,I don't know,insert drive,change language,18 - 24,
3/7/2023 20:09:54,edit,calendar,attachment,hug,file,"wait,loading",image,geography,more info,notification,incoming call,print,refresh,money,QR code,save,transate,25 - 34,
3/7/2023 21:51:32,edit,calendar,attach a file,I don't know,folder,loading,image,connect to a network,expand the menu,notifications,"I'm not sure, maybe accept call?",print,refresh,"not sure,financial account page?",don't know,"don't know,SIM card?",translate,35 - 44,
3/7/2023 21:56:59,edit,calendar,attachment,accessibility,open,loading,add photo,region,menu,notification,answer call,print,refresh,savings,screenshot,storage,translate,25 - 34,
3/8/2023 2:48:53,"edit, write, note",calendar,"keep for later, remember, pin",accessibility?,folder,"program running, waiting","insert figure, picture",WWW,more options,"alert, notifications",incoming call,print,"refresh, reload","bank, savings",,SD card,translations,35 - 44,
3/8/2023 2:50:13,Edit,Calendar,Attachment,Child,Folder,Time,Image,Global,Ellipse,Notification,Phone,Print,Refresh,Money,zoom,SIM,Translate,45 - 54,
3/8/2023 6:35:05,Edit,Calendar,Attachment,Hug,Folder,Loading,Insert image,Internet,"Elipsis,tap/click for menu",Notification,Accept call,Print,Refresh,Add money,,Insert SIM card,Translate,35 - 44,
3/8/2023 7:15:49,Edit,Choose a date ,Add an attachment,Hug,Open folder location,"Loading, timer",Add a picture,Internet,"Expandable menu, see more",Notification,Make a phone call,Print,Refresh,Save money,"Collapse options, minimize ",Save,Translate,25 - 34,
3/8/2023 8:03:41,Edit,Calendar,Attachments,Child? Parent?,Folder ,Loading ,Gallery ,Internet,More,Notification,Incoming call,Print ,Reload ,Money?,I have no idea,"External memory?, Sim card?",Translation ,25 - 34,
3/8/2023 10:57:42,"edit, pencil",calendar,attach file,accessibility,"folder, files",timer,"image, picture","world wide web, connectivity","options, more",alert,hangup,printer,"refresh, reload",payment,"scanner, barcorde scan",SD card,translate,25 - 34,
3/9/2023 2:21:46,Edit ,Diary ,Attachment ,? ,Folder,System is processing ,Add a picture ,The world ,? ,Alarm set,Incoming phone call ,Print,Redo,Save money ,? ,SD card,Discuss ,55 - 64,
3/9/2023 15:54:50,Create,Calendar,Attach,Safe space,File,Timer,Photo,I don't know,More,options,Alarm,Phone call received,Print,Refresh,Deposit,Scan,Sim card,message,35 - 44
3/11/2023 5:05:16,Pencil,Calendar,Paper clip,Human,Folder,Hour Glass,Picture,Internet, ,Bell,Phone call,Fax machine,Refresh,Piggy bank,Scan,Sim card,Transalate,18 - 24
3/13/2023 15:35:10,edit,calendar,"upload a file, attachment","all the things, forum of people,hugz"."click here to expand folder, this is a file repository","please be patient something is happening, nothing is happening for the first two icons but something is happening in the last icon","load a picture,avatar,jpeg,anything graphical",the internets,"click here for more options that can't be summarized in a word, or icon",set reminders,someone called me indicator,print something on this page,"something is happening, maybe a refresh action",donate (*** I really don't think I've ever seen an icon like this and if I do, I might be suspicious of the site and quickly exit),"precision, center the page, the page has two quadrants","ink side up (first icon only), insert sd card ((last icon only)",click to interact in a different language,35 - 44
3/14/2023 9:07:10,"Enter text, write",Calendar,File attachment,Hug?,"File storage,access","Time,usually when waiting in an app","picture,photo",	internet,"more options, another menu",alert,incoming phone call,print,refresh,"save money, coupon, discount","I don't know, maybe something to do with expanding the window size?","Maybe "save", because it looks like a floppy disk" but I would expect to see the square one instead",Chat,35 - 44
3/14/2023 14:20:26,Edit,"Calendar, Chose Date",Attachment,Hug,Folder,Wait,Image,"World, Language, Country","More,More Options","Bell, Notifications",Incoming Call,Print,"Refresh,Reload",Save (money),Collapse,Memory Card,Language,55 - 64
3/15/2023 8:32:12,Edit,Calendar,attatch	i don't know,folder,"time, i don't know",photo,internet,expand more options,alert,incoming call,print,refresh,i don't know,i don't know,save,translate,25 - 34
3/15/2023 23:37:28,edit text,"calendar,schedule",link,Child,Folder,"Wait a moment,it’s loading",Insert images,"UN,location",Menu,"Alert, reminder",Call in,Print,"Refresh, reload, restart",Saving,Scan,SD card,Translate,25 - 34														
